0,date,daily_vaccines
318,2023-06-21,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
319,2023-06-22,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
320,2023-06-23,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
321,2023-06-24,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
322,2023-06-25,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
323,2023-06-26,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
324,2023-06-27,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
325,2023-06-28,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
326,2023-06-29,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
327,2023-06-30,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
328,2023-07-01,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
329,2023-07-02,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
330,2023-07-03,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
331,2023-07-04,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
332,2023-07-05,"[[0.000015],[0.000025],[0.000035],[0.000045],[0.000055]]"
