0,date,daily_vaccines
287,2024-04-26,"[[0.0000144],[0.0000144],[0.0000144],[0.0000144],[0.0000144]]"
288,2024-04-27,"[[0.0000144],[0.0000144],[0.0000144],[0.0000144],[0.0000144]]"
289,2024-04-28,"[[0.0000144],[0.0000144],[0.0000144],[0.0000144],[0.0000144]]"
290,2024-04-29,"[[0.0000144],[0.0000144],[0.0000144],[0.0000144],[0.0000144]]"
291,2024-04-30,"[[0.0000124],[0.0000124],[0.0000124],[0.0000124],[0.0000124]]"
292,2024-05-01,"[[0.0000124],[0.0000124],[0.0000124],[0.0000124],[0.0000124]]"
293,2024-05-02,"[[0.0000124],[0.0000124],[0.0000124],[0.0000124],[0.0000124]]"
294,2024-05-03,"[[0.0000124],[0.0000124],[0.0000124],[0.0000124],[0.0000124]]"
295,2024-05-04,"[[0.0000124],[0.0000124],[0.0000124],[0.0000124],[0.0000124]]"
296,2024-05-05,"[[0.0000124],[0.0000124],[0.0000124],[0.0000124],[0.0000124]]"
297,2024-05-06,"[[0.0000124],[0.0000124],[0.0000124],[0.0000124],[0.0000124]]"
298,2024-05-07,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
299,2024-05-08,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
300,2024-05-09,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
301,2024-05-10,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
302,2024-05-11,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
303,2024-05-12,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
304,2024-05-13,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
305,2024-05-14,"[[0.0000103],[0.0000103],[0.0000103],[0.0000103],[0.0000103]]"
306,2024-05-15,"[[0.00000825],[0.00000825],[0.00000825],[0.00000825],[0.00000825]]"
